name, 0.97, 0.92, [[721, 724], [981, 724], [981, 812], [721, 812]], textual
location, 0.7, 0.1, [[744, 876], [1044, 876], [1044, 941], [744, 941]], textual
location, 0.99, 0.1, [[694, 968], [1055, 968], [1055, 1043], [694, 1043]], textual
location, 0.99, 0.1, [[741, 1033], [1005, 1033], [1005, 1100], [741, 1100]], textual
location, 0.97, 0.1, [[489, 1333], [977, 1333], [977, 1402], [489, 1402]], textual
date-time, 1.0, 0.47, [[1143, 1354], [1252, 1354], [1252, 1416], [1143, 1416]], textual
date-time, 1.0, 0.47, [[1143, 1411], [1255, 1411], [1255, 1478], [1143, 1478]], textual
date-time, 0.99, 0.47, [[1138, 1480], [1295, 1480], [1295, 1574], [1138, 1574]], textual
date-time, 1.0, 0.47, [[1125, 1577], [1246, 1577], [1246, 1636], [1125, 1636]], textual
location, 0.46, 0.1, [[423, 1704], [569, 1704], [569, 1760], [423, 1760]], textual
date-time, 1.0, 0.47, [[1138, 1701], [1238, 1701], [1238, 1755], [1138, 1755]], textual
date-time, 0.69, 0.47, [[362, 1960], [1037, 1960], [1037, 2036], [362, 2036]], textual
date-time, 0.41, 0.47, [[360, 2027], [1037, 2027], [1037, 2107], [360, 2107]], textual
date-time, 0.94, 0.47, [[988, 2250], [1245, 2250], [1245, 2335], [988, 2335]], textual
date-time, 0.97, 0.47, [[356, 2305], [777, 2305], [777, 2393], [356, 2393]], textual
date-time, 0.89, 0.47, [[631, 2347], [961, 2347], [961, 2429], [631, 2429]], textual
receipt, 1.0, 0.8, [[36, 50], [1788, 2480]], multimodal
