date-time, 0.71, 0.47, [[133, 41], [166, 41], [166, 56], [133, 56]], textual
date-time, 1.0, 0.47, [[148, 62], [165, 62], [165, 75], [148, 75]], textual
name, 0.97, 0.92, [[11, 89], [71, 89], [71, 106], [11, 106]], textual
date-time, 0.97, 0.47, [[155, 92], [163, 92], [163, 104], [155, 104]], textual
name, 0.93, 0.92, [[178, 99], [238, 99], [238, 116], [178, 116]], textual
date-time, 0.96, 0.47, [[360, 98], [369, 98], [369, 109], [360, 109]], textual
location, 0.8, 0.1, [[12, 111], [72, 111], [72, 125], [12, 125]], textual
date-time, 0.96, 0.47, [[155, 113], [164, 113], [164, 124], [155, 124]], textual
location, 0.99, 0.1, [[179, 121], [309, 121], [309, 135], [179, 135]], textual
name, 0.99, 0.92, [[12, 132], [58, 132], [58, 147], [12, 147]], textual
date-time, 0.96, 0.47, [[155, 133], [164, 133], [164, 146], [155, 146]], textual
email, 0.99, 0.74, [[180, 140], [306, 140], [306, 153], [180, 153]], textual
date-time, 0.98, 0.47, [[393, 141], [465, 141], [465, 227], [393, 227]], textual
name, 0.99, 0.92, [[179, 215], [279, 215], [279, 229], [179, 229]], textual
name, 0.99, 0.92, [[179, 234], [269, 234], [269, 248], [179, 248]], textual
location, 0.81, 0.1, [[178, 253], [344, 253], [344, 268], [178, 268]], textual
name, 0.99, 0.92, [[179, 273], [290, 273], [290, 287], [179, 287]], textual
location, 0.84, 0.1, [[179, 292], [299, 292], [299, 306], [179, 306]], textual
name, 0.97, 0.92, [[179, 311], [355, 311], [355, 324], [179, 324]], textual
name, 0.98, 0.92, [[179, 329], [272, 329], [272, 343], [179, 343]], textual
name, 0.99, 0.92, [[179, 348], [280, 348], [280, 362], [179, 362]], textual
name, 0.99, 0.92, [[179, 368], [280, 368], [280, 382], [179, 382]], textual
name, 0.99, 0.92, [[179, 387], [280, 387], [280, 401], [179, 401]], textual
name, 0.99, 0.92, [[179, 406], [281, 406], [281, 420], [179, 420]], textual
location, 0.97, 0.1, [[179, 425], [305, 425], [305, 439], [179, 439]], textual
location, 0.89, 0.1, [[178, 444], [272, 444], [272, 457], [178, 457]], textual
name, 0.81, 0.92, [[179, 463], [358, 463], [358, 476], [179, 476]], textual
name, 0.98, 0.92, [[178, 481], [342, 481], [342, 496], [178, 496]], textual
