epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.836,1.24556,2.17132,1.67688,0.01397,0.31081,0.00945,0.00381,2.8218,896.558,5.2478,0.000663158,0.000663158,0.000663158
2,377.051,1.49786,2.16228,1.87318,0.41115,0.33784,0.24705,0.10531,1.8852,10.059,2.72584,0.00130349,0.00130349,0.00130349
3,567.401,1.40181,2.03259,1.79035,0.21369,0.38851,0.1226,0.05432,1.76772,14.7417,2.52327,0.00191743,0.00191743,0.00191743
4,757.302,1.32177,1.93283,1.72348,0.07629,0.50338,0.05177,0.02566,1.64758,117.028,2.25129,0.0018812,0.0018812,0.0018812
5,945.468,1.25793,1.91138,1.66196,0.51301,0.4527,0.36105,0.21628,1.44891,2.81003,1.93813,0.0018416,0.0018416,0.0018416
6,1134.39,1.179,1.75045,1.61148,0.54119,0.46625,0.36273,0.20341,1.4716,2.61006,1.99555,0.001802,0.001802,0.001802
7,1324.05,1.14225,1.73316,1.5819,0.54541,0.52703,0.39868,0.23928,1.37618,2.76239,1.86434,0.0017624,0.0017624,0.0017624
8,1513.55,1.07137,1.64862,1.53175,0.56127,0.45608,0.38821,0.25025,1.31918,2.49138,1.84572,0.0017228,0.0017228,0.0017228
9,1702.91,1.05699,1.60567,1.53442,0.61063,0.48311,0.42679,0.29354,1.22399,2.90932,1.73731,0.0016832,0.0016832,0.0016832
10,1892.04,1.05556,1.64222,1.5277,0.59591,0.44595,0.37915,0.25413,1.27327,5.72862,1.81088,0.0016436,0.0016436,0.0016436
11,2080.67,0.98736,1.54939,1.47804,0.54194,0.52027,0.41061,0.26527,1.17213,2.8886,1.69606,0.001604,0.001604,0.001604
12,2269.28,1.02684,1.57088,1.51192,0.63432,0.46882,0.42514,0.2969,1.15715,2.59809,1.67134,0.0015644,0.0015644,0.0015644
13,2458.52,0.9638,1.53955,1.46242,0.62449,0.53041,0.46463,0.31043,1.20257,2.6882,1.74338,0.0015248,0.0015248,0.0015248
14,2648.34,0.9503,1.53418,1.45834,0.60395,0.53063,0.47201,0.34756,1.05612,2.88861,1.53063,0.0014852,0.0014852,0.0014852
15,2837.82,0.93973,1.51902,1.44634,0.58662,0.51777,0.44055,0.30917,1.07779,2.2489,1.57532,0.0014456,0.0014456,0.0014456
16,3027.72,0.89828,1.4368,1.4088,0.60772,0.51351,0.44111,0.30724,1.1998,2.31525,1.69028,0.001406,0.001406,0.001406
17,3216.63,0.91819,1.433,1.41625,0.61552,0.50338,0.45096,0.3002,1.15326,2.33152,1.63096,0.0013664,0.0013664,0.0013664
18,3406.1,0.8661,1.37837,1.38736,0.62307,0.52365,0.47745,0.33475,1.10727,2.17518,1.57978,0.0013268,0.0013268,0.0013268
19,3594.79,0.86022,1.41745,1.38608,0.61303,0.51379,0.47814,0.35898,1.00703,2.24614,1.47855,0.0012872,0.0012872,0.0012872
20,3784.25,0.84723,1.33814,1.36453,0.64688,0.48311,0.47761,0.34252,1.06026,1.78373,1.51945,0.0012476,0.0012476,0.0012476
21,3972.27,0.83373,1.37481,1.36842,0.63029,0.52413,0.47979,0.32993,1.07772,1.80206,1.5289,0.001208,0.001208,0.001208
22,4160.65,0.81984,1.33708,1.35615,0.63045,0.5,0.49432,0.346,1.05479,2.37908,1.49825,0.0011684,0.0011684,0.0011684
23,4349.15,0.80222,1.32702,1.34084,0.68235,0.5,0.50721,0.39069,0.97228,1.63124,1.4574,0.0011288,0.0011288,0.0011288
24,4538.44,0.80852,1.32723,1.34773,0.66399,0.56757,0.505,0.37793,0.99887,1.77215,1.45751,0.0010892,0.0010892,0.0010892
25,4728.08,0.78464,1.25506,1.32167,0.67277,0.53483,0.50925,0.3761,1.00036,1.93618,1.48234,0.0010496,0.0010496,0.0010496
26,4917.44,0.79914,1.27525,1.33113,0.60297,0.56081,0.48901,0.37578,0.94645,2.46289,1.40618,0.00101,0.00101,0.00101
27,5106.44,0.76302,1.22484,1.30924,0.6889,0.54392,0.50456,0.38853,0.9362,1.66252,1.40174,0.0009704,0.0009704,0.0009704
28,5294.38,0.76998,1.24568,1.31446,0.62819,0.5473,0.51023,0.35922,0.99031,2.62579,1.45955,0.0009308,0.0009308,0.0009308
29,5481.84,0.75201,1.21016,1.29845,0.68586,0.57533,0.54568,0.40705,0.94747,2.23935,1.38737,0.0008912,0.0008912,0.0008912
30,5671.24,0.75592,1.21974,1.29419,0.68298,0.56081,0.54759,0.40171,0.92374,2.56065,1.39036,0.0008516,0.0008516,0.0008516
31,5859.54,0.72829,1.19873,1.28434,0.6535,0.55405,0.53324,0.41548,0.90014,1.54962,1.37908,0.000812,0.000812,0.000812
32,6049.33,0.72028,1.17547,1.27168,0.6824,0.57095,0.5648,0.43236,0.8961,2.14105,1.39006,0.0007724,0.0007724,0.0007724
33,6238.77,0.69986,1.15953,1.25921,0.70717,0.51689,0.56422,0.42807,0.89779,1.72886,1.36127,0.0007328,0.0007328,0.0007328
