epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.545,0.8535,2.77741,1.40068,0.3229,0.14957,0.06487,0.03042,1.59255,18.0626,2.47119,0.000301405,0.000301405,0.000301405
2,379.102,1.23142,2.63432,1.65831,0.3002,0.14837,0.0101,0.00428,2.2124,20.0578,2.76792,0.000598422,0.000598422,0.000598422
3,572.324,1.22095,2.62264,1.66162,0.50244,0.15651,0.06997,0.03286,1.7352,4.16426,2.36347,0.000889439,0.000889439,0.000889439
4,766.16,1.16498,2.55635,1.62109,0.70989,0.17623,0.11001,0.0716,1.56117,3.7376,2.15557,0.000882003,0.000882003,0.000882003
5,958.628,1.11176,2.53678,1.56307,0.40478,0.28557,0.12673,0.08084,1.27083,5.48151,1.79051,0.000873004,0.000873004,0.000873004
6,1151.67,1.02948,2.38054,1.52376,0.56747,0.18815,0.15087,0.10687,1.19325,4.41574,1.7292,0.000864004,0.000864004,0.000864004
7,1344.99,0.99387,2.36972,1.48577,0.58129,0.29919,0.17685,0.12426,1.23388,3.72149,1.74585,0.000855005,0.000855005,0.000855005
8,1537.21,0.91854,2.22355,1.42681,0.21659,0.13629,0.05178,0.04697,1.31269,inf,1.93626,0.000846006,0.000846006,0.000846006
9,1729.11,0.89032,2.18723,1.4149,0.43434,0.26423,0.20027,0.15328,1.13144,2.96975,1.62834,0.000837007,0.000837007,0.000837007
10,1921.47,0.88467,2.18327,1.41495,0.65375,0.27667,0.25929,0.21181,1.0276,3.34448,1.50014,0.000828008,0.000828008,0.000828008
11,2113.29,0.83309,2.06409,1.36712,0.42429,0.28974,0.19732,0.14874,1.06155,3.86969,1.5555,0.000819009,0.000819009,0.000819009
12,2305.56,0.87243,2.09669,1.38774,0.53591,0.30834,0.30702,0.23678,0.98397,3.25314,1.47043,0.00081001,0.00081001,0.00081001
13,2498.13,0.81576,2.00558,1.35164,0.69247,0.25431,0.3052,0.23522,0.95921,3.1771,1.45514,0.000801011,0.000801011,0.000801011
14,2690.04,0.79276,1.98568,1.33818,0.23284,0.43345,0.30563,0.25227,0.95279,2.95634,1.41308,0.000792012,0.000792012,0.000792012
15,2882.94,0.811,1.94266,1.3388,0.68014,0.25964,0.29809,0.25369,0.87341,2.97436,1.36027,0.000783013,0.000783013,0.000783013
