epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.609,1.10022,2.75417,1.81306,1.281,0.50261,0.23447,0.223,0.13827,0.51017,0.20171,0.20773,0.11775,1.25912,2.8206,1.5632,1.38121,0.000255804,0.000255804,0.000255804
2,468.972,1.20819,2.77211,1.56768,1.33584,0.47982,0.21458,0.21874,0.13357,0.47486,0.20282,0.19777,0.10824,1.34933,2.94687,1.59225,1.46406,0.000501997,0.000501997,0.000501997
3,685.172,1.24596,2.8342,1.57852,1.36492,0.37717,0.26079,0.22828,0.14123,0.34882,0.23898,0.19474,0.10623,1.34896,2.98227,1.72812,1.44953,0.000738039,0.000738039,0.000738039
4,901.125,1.23495,2.81048,1.53595,1.35347,0.58969,0.20621,0.22182,0.13569,0.63389,0.19241,0.20398,0.11162,1.34078,2.81072,1.61098,1.43736,0.000723321,0.000723321,0.000723321
5,1116.2,1.18643,2.73509,1.46563,1.32329,0.31711,0.22662,0.22464,0.14213,0.35827,0.21545,0.20966,0.11834,1.27774,2.79472,1.52276,1.39893,0.000708095,0.000708095,0.000708095
6,1330.36,1.16201,2.69375,1.43514,1.30808,0.56813,0.23594,0.26312,0.16737,0.55252,0.22308,0.24127,0.14092,1.23643,2.73429,1.43107,1.37177,0.000692869,0.000692869,0.000692869
7,1544.63,1.13026,2.61881,1.36604,1.29179,0.75957,0.22002,0.27,0.166,0.72972,0.20934,0.24141,0.13486,1.22808,2.70118,1.40878,1.36784,0.000677643,0.000677643,0.000677643
8,1760.73,1.11376,2.59353,1.33785,1.28309,0.61027,0.25084,0.27806,0.17739,0.59274,0.23637,0.25064,0.14398,1.18347,2.59198,1.41493,1.32274,0.000662417,0.000662417,0.000662417
9,1977.54,1.09693,2.54823,1.30941,1.27185,0.58952,0.26983,0.28319,0.18522,0.58253,0.25114,0.25397,0.14522,1.18323,2.64954,1.34095,1.32933,0.00064719,0.00064719,0.00064719
10,2192.36,1.08043,2.50911,1.29238,1.26404,0.58006,0.29859,0.32073,0.20528,0.56049,0.26882,0.28383,0.16276,1.16962,2.52416,1.3404,1.32771,0.000631964,0.000631964,0.000631964
11,2406.25,1.06194,2.48571,1.25689,1.25371,0.50264,0.30891,0.35174,0.22648,0.37437,0.31281,0.27521,0.15813,1.16899,2.57781,1.33365,1.32239,0.000616738,0.000616738,0.000616738
12,2622.11,1.04738,2.42934,1.23103,1.23814,0.38073,0.3246,0.32841,0.21093,0.36425,0.31285,0.29928,0.17655,1.13159,2.48975,1.25699,1.29157,0.000601512,0.000601512,0.000601512
13,2839.47,1.0244,2.37178,1.19564,1.2192,0.4923,0.36102,0.3332,0.21266,0.4339,0.30491,0.27731,0.15573,1.13163,2.49703,1.26304,1.28895,0.000586286,0.000586286,0.000586286
14,3055.72,1.02444,2.35277,1.18092,1.22654,0.53225,0.35195,0.34513,0.22382,0.57127,0.3103,0.31469,0.18057,1.12056,2.50364,1.22046,1.27987,0.000571059,0.000571059,0.000571059
15,3272.63,0.99416,2.32514,1.12803,1.198,0.45701,0.35736,0.32813,0.20893,0.44458,0.34367,0.30653,0.17657,1.11103,2.44272,1.28032,1.284,0.000555833,0.000555833,0.000555833
16,3488.46,0.98631,2.30489,1.12379,1.19872,0.65997,0.30474,0.37145,0.24155,0.57527,0.27043,0.30794,0.18044,1.10632,2.40651,1.1794,1.26867,0.000540607,0.000540607,0.000540607
