epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,665.476,0.89013,2.15083,1.09661,1.28365,0.60676,0.43645,0.46956,0.34374,0.58021,0.40861,0.41857,0.28419,0.93355,2.15764,1.08782,1.27983,0.000256069,0.000256069,0.000256069
2,1327.85,0.83841,2.02662,1.01671,1.2441,0.58384,0.4505,0.47658,0.33881,0.55759,0.42034,0.41994,0.27817,0.95104,2.1929,1.08988,1.29769,0.000495493,0.000495493,0.000495493
3,1988.76,0.85483,2.06386,1.04439,1.24605,0.56065,0.40915,0.44254,0.31215,0.51142,0.38654,0.38857,0.25111,1.00222,2.30636,1.15534,1.33737,0.000717999,0.000717999,0.000717999
4,2646.28,0.85742,2.07522,1.05227,1.24943,0.54218,0.40304,0.42781,0.31038,0.52244,0.37681,0.38597,0.24533,0.97006,2.25411,1.12309,1.31349,0.000692869,0.000692869,0.000692869
5,3306,0.85277,2.07219,1.04911,1.25367,0.47006,0.42489,0.41247,0.29362,0.65361,0.34652,0.37683,0.24715,0.98656,2.26992,1.17495,1.323,0.000667492,0.000667492,0.000667492
6,3965.56,0.8765,2.11251,1.04954,1.26335,0.4945,0.39779,0.38357,0.26799,0.44563,0.40096,0.35771,0.2269,0.98421,2.33923,1.16511,1.32651,0.000642115,0.000642115,0.000642115
7,4624.85,0.8575,2.06516,1.03984,1.24931,0.6013,0.39853,0.41354,0.29219,0.55965,0.38813,0.38538,0.25501,0.98246,2.29497,1.14459,1.32677,0.000616738,0.000616738,0.000616738
8,5285.56,0.84979,2.05895,1.03962,1.24517,0.63352,0.41968,0.45778,0.33349,0.5876,0.38575,0.41212,0.27739,0.9706,2.24231,1.1155,1.31089,0.000591361,0.000591361,0.000591361
9,5945.74,0.87807,2.12086,1.07193,1.27176,0.52875,0.42573,0.43468,0.31688,0.50743,0.39823,0.3916,0.26387,0.98267,2.27588,1.13164,1.32289,0.000565984,0.000565984,0.000565984
10,6606.04,0.88159,2.14613,1.07723,1.27531,0.51376,0.44023,0.44323,0.32378,0.49772,0.40536,0.40187,0.26853,0.97893,2.25828,1.10747,1.3205,0.000540607,0.000540607,0.000540607
